	Temperature	SigmaT_saturation
489	0.08999999999999997	0.8123368240121431
490	0.091	0.8150453220621608
491	0.092	0.8177746284461708
492	0.093	0.8205245355200799
493	0.094	0.8232948368576162
494	0.095	0.8260853272801986
495	0.096	0.8288958028875486
496	0.097	0.8317260610845323
497	0.098	0.8345759006078121
498	0.099	0.8374451215504517
499	0.09999999999999998	0.8403335253858918
500	0.001	0.6801926628344344
501	0.002	0.6802463637477791
502	0.003	0.6803358558505127
503	0.004	0.6804611250212286
504	0.005	0.6806221515055264
505	0.006	0.6808189099315248
506	0.006999999999999999	0.681051369329974
507	0.008	0.6813194931584184
508	0.009000000000000001	0.6816232393298681
509	0.01	0.6819625602458035
510	0.011000000000000001	0.6823374028329704
511	0.012	0.682747708585235
512	0.012999999999999998	0.6831934136079877
513	0.013999999999999999	0.6836744486683143
514	0.015	0.6841907392473502
515	0.016	0.6847422055981153
516	0.016999999999999998	0.6853287628055414
517	0.018000000000000002	0.6859503208505605
518	0.019	0.6866067846789222
519	0.02	0.6872980542709787
520	0.021	0.6880240247170271
521	0.022000000000000002	0.688784586294199
522	0.023000000000000003	0.6895796245472009
523	0.024	0.6904090203714488
524	0.024999999999999998	0.6912726500994191
525	0.025999999999999995	0.6921703855889207
526	0.027	0.6931020943140401
527	0.027999999999999997	0.6940676394592824
528	0.029	0.695066880013576
529	0.03	0.6960996708692907
530	0.031	0.6971658629212326
531	0.032	0.6982653031668792
532	0.032999999999999995	0.6993978348091263
533	0.034	0.7005632973618791
534	0.035	0.7017615267534909
535	0.036000000000000004	0.7029923554326614
536	0.037000000000000005	0.7042556124790148
537	0.038	0.7055511237076794
538	0.039	0.7068787117803972
539	0.04	0.708238196312205
540	0.040999999999999995	0.7096293939855597
541	0.042	0.7110521186575122
542	0.043	0.7125061814692009
543	0.044000000000000004	0.71399139095777
544	0.044999999999999984	0.7155075531657789
545	0.046000000000000006	0.7170544717512721
546	0.047	0.7186319480964252
547	0.048	0.7202397814180649
548	0.049	0.7218777688740173
549	0.04999999999999999	0.7235457056728575
550	0.051	0.7252433851792635
551	0.05199999999999999	0.7269705990206129
552	0.052999999999999985	0.72872713719205
553	0.053999999999999986	0.7305127881600041
554	0.055	0.7323273389652926
555	0.055999999999999994	0.7341705753243863
556	0.057	0.736042281729696
557	0.058	0.7379422415481278
558	0.059000000000000004	0.7398702371186014
559	0.06000000000000001	0.7418260498473688
560	0.061	0.7438094603027758
561	0.062	0.7458202483073901
562	0.063	0.7478581930286772
563	0.064	0.7499230730684574
564	0.06499999999999999	0.752014666549978
565	0.06599999999999999	0.7541327512034302
566	0.067	0.7562771044495437
567	0.06799999999999999	0.7584475034812779
568	0.069	0.7606437253438506
569	0.07	0.7628655470123427
570	0.071	0.7651127454678175
571	0.07200000000000001	0.7673850977715424
572	0.073	0.7696823811364345
573	0.07400000000000001	0.7720043729975731
574	0.075	0.7743508510800533
575	0.076	0.7767215934651022
576	0.077	0.7791163786540691
577	0.078	0.7815349856305723
578	0.079	0.7839771939206416
579	0.08	0.7864427836507256
580	0.081	0.7889315356039671
581	0.08199999999999999	0.7914432312744275
582	0.083	0.7939776529193607
583	0.08399999999999999	0.7965345836095343
584	0.085	0.7991138072779027
585	0.086	0.801715108766152
586	0.08700000000000001	0.8043382738693874
587	0.08800000000000001	0.8069830893791947
588	0.08900000000000001	0.8096493431246617
589	0.08999999999999997	0.8123368240121431
590	0.091	0.8150453220621608
591	0.092	0.8177746284461708
592	0.093	0.8205245355200799
593	0.094	0.8232948368576162
594	0.095	0.8260853272801986
595	0.096	0.8288958028875486
596	0.097	0.8317260610845323
597	0.098	0.8345759006078121
598	0.099	0.8374451215504517
599	0.09999999999999998	0.8403335253858918
600	0.001	0.6801926628344344
601	0.002	0.6802463637477791
602	0.003	0.6803358558505127
603	0.004	0.6804611250212286
604	0.005	0.6806221515055264
605	0.006	0.6808189099315248
606	0.006999999999999999	0.681051369329974
607	0.008	0.6813194931584184
608	0.009000000000000001	0.6816232393298681
609	0.01	0.6819625602458035
610	0.011000000000000001	0.6823374028329704
611	0.012	0.682747708585235
612	0.012999999999999998	0.6831934136079877
613	0.013999999999999999	0.6836744486683143
614	0.015	0.6841907392473502
615	0.016	0.6847422055981153
616	0.016999999999999998	0.6853287628055414
617	0.018000000000000002	0.6859503208505605
618	0.019	0.6866067846789222
619	0.02	0.6872980542709787
620	0.021	0.6880240247170271
621	0.022000000000000002	0.688784586294199
622	0.023000000000000003	0.6895796245472009
623	0.024	0.6904090203714488
624	0.024999999999999998	0.6912726500994191
625	0.025999999999999995	0.6921703855889207
626	0.027	0.6931020943140401
627	0.027999999999999997	0.6940676394592824
628	0.029	0.695066880013576
629	0.03	0.6960996708692907
630	0.031	0.6971658629212326
631	0.032	0.6982653031668792
632	0.032999999999999995	0.6993978348091263
633	0.034	0.7005632973618791
634	0.035	0.7017615267534909
635	0.036000000000000004	0.7029923554326614
636	0.037000000000000005	0.7042556124790148
637	0.038	0.7055511237076794
638	0.039	0.7068787117803972
639	0.04	0.708238196312205
640	0.040999999999999995	0.7096293939855597
641	0.042	0.7110521186575122
642	0.043	0.7125061814692009
643	0.044000000000000004	0.71399139095777
644	0.044999999999999984	0.7155075531657789
645	0.046000000000000006	0.7170544717512721
646	0.047	0.7186319480964252
647	0.048	0.7202397814180649
648	0.049	0.7218777688740173
649	0.04999999999999999	0.7235457056728575
650	0.051	0.7252433851792635
651	0.05199999999999999	0.7269705990206129
652	0.052999999999999985	0.72872713719205
653	0.053999999999999986	0.7305127881600041
654	0.055	0.7323273389652926
655	0.055999999999999994	0.7341705753243863
656	0.057	0.736042281729696
657	0.058	0.7379422415481278
658	0.059000000000000004	0.7398702371186014
659	0.06000000000000001	0.7418260498473688
660	0.061	0.7438094603027758
661	0.062	0.7458202483073901
662	0.063	0.7478581930286772
663	0.064	0.7499230730684574
664	0.06499999999999999	0.752014666549978
665	0.06599999999999999	0.7541327512034302
666	0.067	0.7562771044495437
667	0.06799999999999999	0.7584475034812779
668	0.069	0.7606437253438506
669	0.07	0.7628655470123427
670	0.071	0.7651127454678175
671	0.07200000000000001	0.7673850977715424
672	0.073	0.7696823811364345
673	0.07400000000000001	0.7720043729975731
674	0.075	0.7743508510800533
675	0.076	0.7767215934651022
676	0.077	0.7791163786540691
677	0.078	0.7815349856305723
678	0.079	0.7839771939206416
679	0.08	0.7864427836507256
680	0.081	0.7889315356039671
681	0.08199999999999999	0.7914432312744275
682	0.083	0.7939776529193607
683	0.08399999999999999	0.7965345836095343
684	0.085	0.7991138072779027
685	0.086	0.801715108766152
686	0.08700000000000001	0.8043382738693874
687	0.08800000000000001	0.8069830893791947
688	0.08900000000000001	0.8096493431246617
689	0.08999999999999997	0.8123368240121431
690	0.091	0.8150453220621608
691	0.092	0.8177746284461708
692	0.093	0.8205245355200799
693	0.094	0.8232948368576162
694	0.095	0.8260853272801986
695	0.096	0.8288958028875486
696	0.097	0.8317260610845323
697	0.098	0.8345759006078121
698	0.099	0.8374451215504517
699	0.09999999999999998	0.8403335253858918
700	0.001	0.6801926628344344
701	0.002	0.6802463637477791
