SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
1657696745616050.5	3975360655676821.0	-1266440021608574.8	-7956934298356160.0	738417378658531.9	1588147780623803.8	-691821363768326.0	-3175051239626219.0	660453222331529.5	1583848048151901.2	-504570208859374.44	-3170171450916744.5	294197438976927.4	632743788648663.2	-275632832233606.62	-1264991819417222.2	0.13280539682106457	3.1266215745462826	-0.6365051089715614	0.3182543500142381	0.31825436143174024	-0.3182544997692773	0.6365051089715614	0.6827435317553121	0.08700000000000001	0.0	0.0	0.1	0.1	5.140932131513698	2.509938159986568
2.082994300711647e+16	-1.5203434225358234e+17	-1760913463055474.2	3.858618816064325e+16	3474241793340820.5	-6.2194356667529784e+16	370432482509257.94	1.5768608040010642e+16	8490864284492329.0	-6.197342768610519e+16	-717797318333095.4	1.5728803809783498e+16	1416197612671807.2	-2.5352150101653572e+16	150998585760849.6	6427723339297768.0	0.13587594041251624	3.1729588447903816	-0.6428057909599378	0.3214030660130929	0.3214029009939373	-0.3214031082673562	0.6428057909599378	0.6849885208857405	0.088	0.0	0.0	0.1	0.1	5.041278969673466	2.4532182248112515
-3837573779217456.5	4930135021916928.0	3450894771220221.0	-4318171593866339.0	-1562124432143575.8	1676529033880412.8	1389051965262644.2	-1484074964157489.8	-1600056154758053.8	2055593804691620.5	1438832381025714.0	-1800438879764327.2	-651319546137544.8	699019941666878.0	579157893545562.2	-618777231953765.6	0.13898157593072602	3.2196177084083004	-0.6491976783263512	0.32460058064631153	0.32460055368720625	-0.3246000050777665	0.6491976783263512	0.6872517073557789	0.089	0.0	0.0	0.1	0.1	4.944912322039164	2.398399436048268
3879732933760694.0	-7160437062932549.0	-7738885475622419.0	-2546634437849650.5	1657905156176756.0	-3260215567362278.0	-3285963587240710.0	-1358551021204484.0	1654189743085670.2	-3052973425681703.5	-3299604688068175.5	-1085800656489073.5	706875898722774.6	-1390048037804335.8	-1401026141481792.8	-579241201160893.6	0.1421223033756947	3.266600190150007	-0.6556863264284796	0.327842072721037	0.3278415663298049	-0.32784060266842746	0.6556863264284796	0.6895329119834066	0.08999999999999998	0.0	0.0	0.09999999999999999	0.09999999999999999	4.851686861288776	2.3453977694985597
1.433675599599896e+16	8738782029380859.0	-1075418740099522.4	-1.4693671960923422e+16	6249311197518997.0	3809185871903270.5	-468768972311622.8	-6404888856565445.0	6249311197519029.0	3809185871903559.0	-468768972311540.75	-6404888856565347.0	2724039556391663.5	1660402669150520.5	-204333755037336.16	-2791854981794321.0	0.14529812274742135	3.31390828157035	-0.6622664460610466	0.33113139152873144	0.3311311000625663	-0.33113116409464827	0.6622664460610466	0.6918319565327928	0.09100000000000001	0.0	0.0	0.09999999999999999	0.09999999999999999	4.761465209953289	2.294133792167411
-1.2598987802560432e+16	6257359119523694.0	4538046459625698.0	-4840645974554368.0	-5614492231626471.0	2787940278410510.0	2022473702941457.8	-2156697589474812.5	-5613190525542819.0	2787823075556222.0	2021822688523229.0	-2156638973517670.2	-2501408453931098.5	1242102953173171.5	901066848021185.4	-960867227226049.0	0.1485090340459115	3.361543941425669	-0.66893962601577	0.33446718590617697	0.3344688407713724	-0.3344710803400854	0.66893962601577	0.6941486637446939	0.09200000000000001	0.0	0.0	0.1	0.1	4.674117424604871	2.244532364477591
1506184457027249.5	-1902590526739471.5	-2108081657483790.2	1415830435149186.0	682420968325771.2	-894335552990132.0	-960167076339421.8	654400006284310.4	685713235240170.9	-866183088891231.4	-959736031506213.2	644578201367060.5	310682458448666.2	-407159775530784.4	-437130571369247.6	297925492031740.4	0.15175503727115683	3.4095090960732786	-0.6757107862427403	0.3378564036618659	0.33785632022575035	-0.33785641705737096	0.6757107862427403	0.6964828573652961	0.09299999999999999	0.0	0.0	0.09999999999999999	0.09999999999999999	4.589520518659229	2.1965223647749257
-1433400485652872.8	2579373212805859.5	659321029840229.1	-2090838296519951.5	-666686602527264.2	1199688140967911.2	306655747475044.44	-972466449044008.1	-666686602527270.6	1199688140967905.2	306655747475037.5	-972466449043998.9	-310081537182475.9	557985028468760.44	142628163221585.56	-452302311513179.44	0.15503613242316314	3.4578056398727157	-0.682581066666877	0.3412870539369234	0.341287674212942	-0.341287025655564	0.682581066666877	0.6988343621744058	0.094	0.0	0.0	0.09999999999999999	0.09999999999999999	4.507558020523642	2.150036434239286
-4115997709416990.0	3808498996651160.0	5512572598085822.0	-7762754059002927.0	-1955333353052279.8	1809253949821291.2	2618785971988777.0	-3687750332898085.5	-1955333353052270.0	1809253949821301.0	2618785971988791.5	-3687750332898097.5	-928894715565866.1	859498678566617.6	1244072498830513.0	-1751891456875132.0	0.15835231950193077	3.5064354355893306	-0.6895410013632763	0.3447740620262255	0.3447699055991601	-0.34477336902905403	0.6895410013632763	0.7012030040113442	0.095	0.0	0.0	0.1	0.1	4.428119564130199	2.105010740491782
8520055616931870.0	-1388349405362568.5	-6923593790458731.0	4479355171764788.0	3908897158982833.0	-906159757981631.5	-3765123779333535.5	2505310041116684.5	4133170958224467.5	-673503284498414.4	-3358710091563023.0	2172983550801958.8	1896248210409207.8	-439587881064807.56	-1826502191832600.8	1215352947076241.2	0.1617035985074515	3.5554003147991162	-0.6966079436017947	0.3483030766430679	0.3483041277018858	-0.3482990964187398	0.6966079436017947	0.7035886097998191	0.096	0.0	0.0	0.1	0.1	4.35110050916979	2.061384758348343
