SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	T	S	Omega	EInternal	A0	B	P	muTB	c1
654458291937187.5	-627890130417004.6	-24914156976193.82	5482570869857.609	1414457393765.1758	1959471664919.0337	-4901381584660.527	1830201264728.1826	103051119418160.83	-98867691964849.5	-3922987602704.262	863286587378.7444	222720713592.52283	308538757970.9311	-771772418834.7615	288183817692.2054	6.125	-5.25	11.375	-10.2763671875	1.0	-0.2843784989035274	0.142189249451913	0.14218924945161437	0	0.36853773141157653	0.034	1.7067652042144192	-0.14218924945133937	0.2843784989035274	0.0	0.0	0.1	2.713426373385997	0.0
366370100711538.8	-979587897376268.2	40556517072825.92	-58516359905424.28	55533385159135.09	-157342358036446.72	8044571053584.245	-11012181655305.12	59804860360752.66	-159904198786672.88	6620291436304.969	-9551987801861.652	9065058361345.098	-25683967476947.887	1313165150724.3264	-1797586606777.4233	1.5	-0.5	0.40625	0.6015625	1.0	-0.28781617395262526	0.14390808697667043	0.14390808697595486	0	0.3711406708621722	0.035	1.7309597162619665	-0.14390808697871574	0.28781617395262526	0.0	0.0	0.1	2.6943961643357053	0.0
1769259713943656.0	-1845298046625085.0	53448779593860.17	-44897543800955.586	295241630526216.2	-307831270084535.75	8005780327930.775	-6555405027695.488	299153306101606.0	-312010162804345.5	9037327305079.64	-7591451135209.9795	49920601918797.305	-52049307086736.73	1353648440728.6575	-1108413350179.7517	1.25	-1.0	-0.0234375	1.015625	1.0	-0.29130253793137556	0.14565126896643898	0.14565126896493655	0	0.3737574458804162	0.03599999999999998	1.7554544726944266	-0.14565126896603997	0.29130253793137556	0.0	0.0	0.1	2.6755319820971994	0.0
9.219336621781331e+17	-8.020391044420044e+17	1.3247295191393904e+17	-1.1525272844297795e+17	1.5870905366017677e+17	-1.3784522539065709e+17	2.2805815024920604e+16	-1.980917852016985e+16	1.6134184198249277e+17	-1.4035984557385557e+17	2.3183262474825652e+16	-2.016965890643988e+16	2.777467849078671e+16	-2.4123430443440424e+16	3991102999037382.0	-3466680393308679.0	-1566208.0	1362944.0	-377600.0	328576.0	1.0	-0.29483819337051603	0.1474190966850621	0.14741909668545394	0	0.3763879839249863	0.03699999999999999	1.7802515170554531	-0.147419096685522	0.29483819337051603	0.0	0.0	0.09999999999999999	2.656832956174597	0.0
-37792347171779.98	-539571018227364.6	42789169577143.59	-89803478443874.64	50979240858838.016	-152640732524346.5	16421261393176.15	-24865959921443.38	-6840273157799.054	-97660331493322.08	7744679280507.371	-16254092932742.654	9227051478613.922	-27627400349789.926	2972186750253.3037	-4500645525413.499	1.40625	-0.5	0.34375	0.59375	1.0	-0.29842374687447887	0.14921187343773368	0.1492118734367452	0	0.37903221106968077	0.03799999999999999	1.8053528748449135	-0.14921187343930858	0.29842374687447887	0.0	0.0	0.1	2.638298199453498	0.0
-331632160308978.94	320230780689924.0	81925931530676.78	-83218639271925.84	-49133994477915.1	47067057296506.79	15855208565698.191	-16091493176977.234	-62035737863402.26	59902974271747.27	15325219387398.643	-15567035737463.898	-9191097747498.102	8804452576998.059	2965905241020.0923	-3010105086393.365	1.9375	-0.875	0.78125	0.234375	1.0	-0.30205980908330604	0.15102990454235143	0.15102990454095458	0	0.3816900520496195	0.038999999999999986	1.8307605532492586	-0.1510299045430345	0.30205980908330604	0.0	0.0	0.1	2.619926808755331	0.0
-2918913369174480.5	2246374711917643.5	-59553530136189.54	47890869201232.04	-543143549110636.3	413775419766564.56	-8656409393178.359	6377758741448.257	-563937353486916.9	434002126735624.25	-11505809158462.393	9252569918225.58	-104935945987177.48	79941877558047.61	-1672428053344.0144	1232190178651.1643	-14.0	12.25	-0.9296875	1.8984375	1.0	-0.30574699462798943	0.15287349731438696	0.15287349731360247	0	0.38436143030766573	0.039999999999999994	1.8564765408869346	-0.15287349731515365	0.30574699462798943	0.0	0.0	0.1	2.601717865394446	0.0
-4920512861972586.0	5427762528584102.0	-452754894195718.0	509282979882483.0	-983576583664268.6	1085775852012028.1	-91091107530336.23	102484898547344.62	-981221320885537.9	1082374229505670.1	-90285864051581.22	101558380649060.77	-196139374428590.84	216519384377700.62	-18164882271237.7	20436968735639.484	-3.0	5.0	0.375	0.8125	1.0	-0.30948592210069864	0.15474296105121912	0.15474296104947943	0	0.38704626804101894	0.041000000000000016	1.8825028075688308	-0.1547429610506424	0.30948592210069864	0.0	0.0	0.1	2.5836704357372495	0.0
3098178916459940.0	-3233134792162105.0	-1372018170978101.5	1343866472778447.0	669966136516236.5	-697553466468592.2	-288623305831252.94	282784538255470.4	637302509352910.5	-665063242530704.1	-282227284743526.9	276436415852815.4	137813570970633.47	-143488348018394.16	-59370476019559.36	58169428136945.03	2.0	-0.5	-2.25	3.75	1.0	-0.31327721401061903	0.15663860700539378	0.15663860700522525	0	0.38974448624792574	0.042	1.908841304073696	-0.15663860700840193	0.31327721401061903	0.0	0.0	0.1	2.5657835717626885	0.0
-3051140492928932.0	3178268197762314.0	-279870235065973.8	301234502745062.8	-652352141029523.5	679373774256492.9	-61793910950392.555	66331444456512.79	-647040557304795.4	673999912724482.2	-59350722554331.92	63881339121324.51	-138341152716152.9	144071499339975.5	-13104334812522.299	14066587522744.375	-9.0	9.0	-0.375	1.4375	1.0	-0.317121496757092	0.15856074837856332	0.15856074837852868	0	0.39245600477443965	0.04300000000000001	1.9354939619384317	-0.15856074838070022	0.317121496757092	0.0	0.0	0.1	2.548056311623411	0.0
