SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	MuRho	T	S	Omega	EInternal	A0	B	P	muTB	c1
5.820949307833058	2.8312907573990742e-12	-1.6535661728767082e-12	5.829755869082718	0.0317579501320044	-6.1783822061814174e-15	-5.248373095145689e-14	0.031804260046085255	0.03181522355054463	2.0316512409240968e-14	-3.2903949973051697e-14	0.03181352980730043	0.00032195946881951226	-1.2470852857363205e-16	-6.720569391867808e-16	0.0003222978797218174	2.682708688100945	2.2290451300786463e-13	2.2628065409559385e-13	2.690406097844447	1.0	-0.7395356297803288	0.3698367131990651	0.3696989165812637	0	1.1768861014219225	27.898458085065478	0.0019999999999999944	6.929839684417915	-0.4512101510104295	0.7395356297803288	2.5	0.0	0.1	3.414200799486534	0.0
7.377064143054435	-6.910028105266974e-12	1.5851764345597985e-12	7.380750792677684	0.06618610377875471	1.9954067266325575e-13	-4.356354147113102e-14	0.06622715804796542	0.06624708119971165	-5.50972347346814e-14	-9.466062770794635e-14	0.06625048204295798	0.0009157761347879296	2.987218388875667e-15	-2.1718635920737764e-15	0.0009164168422556874	2.589173276757646	-1.7456023468943616e-12	2.2333432076350896e-13	2.5929937996774353	1.0	-0.7958258741753161	0.3979199164594195	0.39790595771589665	0	1.1793831626965345	27.752933047541937	0.0030000000000000096	7.070513497296521	-0.40476882901310807	0.7958258741753161	2.5	0.0	0.1	3.389523837794453	0.0
8.468364240208734	4.4009240696141205e-13	-9.818812429784884e-13	8.470691517930979	0.10542440917923834	5.938734532545218e-15	3.2992969625251212e-15	0.10548038372998632	0.10549891470440075	5.843879744872621e-15	-5.161337685750236e-14	0.10551673036589024	0.001871109278162468	-2.3286069994973687e-17	-2.7575609204574104e-16	0.001872461008754067	2.52421074710817	-2.9776426256109663e-13	8.637477167360765e-13	2.526671772316381	1.0	-0.8522820556589005	0.4261169388972035	0.4261651167616971	0	1.1818924440499146	27.60874662234455	0.003999999999999995	7.170183648284282	-0.3582911229841512	0.8522820556589005	2.5	0.0	0.1	3.365029087213313	0.0
9.28116677752473	-1.0760281554667017e-12	-1.3438139490062895e-12	9.283937599562325	0.14780059694134381	2.3529021809342247e-14	3.855037471587148e-14	0.1478763784788934	0.14789427998915625	-2.5124209728619688e-14	-4.043635209960054e-14	0.14792631497597622	0.0032133350506238405	3.581240606290329e-16	-7.585266561934377e-16	0.0032154915028822953	2.478619728357284	-2.450549781932215e-13	-2.86401192377933e-12	2.4809938751682896	1.0	-0.9088640981654299	0.4543934449790812	0.45447065318634877	0	1.1844102323314263	27.465733707702906	0.004999999999999994	7.2508908725492125	-0.3118005885287424	0.9088640981654299	2.5	0.0	0.1	3.340716447134716	0.0
9.920330344401654	7.186695683003563e-12	1.2566658824653132e-10	9.923839924656924	0.19256570325996747	-6.715060395021788e-13	-1.3770225543849266e-12	0.19265338661717357	0.19267413029372799	5.379998599386411e-13	4.1153261020841964e-12	0.19271578946834422	0.004963851984498077	1.1170872618953033e-13	-1.1091136544602123e-13	0.004966565898806996	2.4458066245397747	1.805263689836633e-10	-1.4751149341768195e-10	2.4483829887896285	1.0	-0.9655350632672602	0.48272228959706	0.48281277367020026	0	1.1869342501413291	27.32377556290874	0.0059999999999999915	7.321049413134083	-0.2653254833528733	0.9655350632672602	2.5	0.0	0.1	3.3165857883409826	0.0
10.443108627804683	1.3765193429549072e-09	3.92703203289102e-09	10.447131286145385	0.2392769303269138	1.1067092506371762e-10	-2.301938624919864e-11	0.23936841285829027	0.23939279998666257	4.837021131231697e-11	1.7583408271695256e-10	0.23944116208497265	0.007141177857481462	4.2882229222368465e-12	-2.825695693110731e-13	0.007144161764863889	2.4218584270184387	8.622492348636995e-10	-1.5100754170643795e-09	2.424545456257407	1.0	-1.022263266401488	0.5110829706772155	0.5111802957242724	0	1.1894631047654647	27.18278886949365	0.007000000000000009	7.384553809042382	-0.21889171502727356	1.022263266401488	2.5	0.0	0.1	3.292636953106783	0.0
10.883211413606148	-1.4233059175694507e-12	-2.786748609651113e-11	10.887473413715247	0.28763885769502023	-2.6124734677821144e-13	-9.558691273694725e-13	0.28772999766122825	0.28775704531872	2.1757875913909475e-13	-1.2299037370262585e-12	0.28781163130814325	0.00976196921447881	1.8855228552510064e-14	-2.0442299036816945e-14	0.009765063704024059	2.4043783021057177	1.6240351838685373e-11	1.8793111247407556e-11	2.4070330895993326	1.0	-1.0790229664077764	0.539460619037831	0.5395623473699455	0	1.191995904963579	27.042721196345074	0.007999999999999998	7.443509856306253	-0.1725210174062528	1.0790229664077764	2.5	0.0	0.1	3.268869755322983	0.0
11.261851530321794	-1.3858035696756588e-07	1.5958213284150702e-07	11.266151095036216	0.33743980074830143	-1.3517532510417887e-08	1.8708793642312084e-09	0.3375292533170182	0.33755839546997823	-4.767162181793988e-09	1.2990564515950066e-09	0.3376196487421926	0.012841589880243948	-5.966671331323987e-10	-7.868067894796923e-11	0.012844750778144837	2.391794257776196	-7.011824410942483e-08	2.191942484908637e-08	2.3943162176323156	1.0	-1.1357928654694094	0.5678438672095683	0.5679489982598411	0	1.194532155003944	26.90354146262246	0.009000000000000001	7.499201623264894	-0.12623210414391872	1.1357928654694094	2.5	0.0	0.1	3.2452839806424563	0.0
11.593016141944528	-4.18332035678759e-12	-8.970602038971265e-13	11.597233231301871	0.38851617153350704	-2.1805568914043167e-13	-1.0061988184103357e-13	0.3886041053657641	0.3886358513989649	-6.838361490189422e-14	5.1619377738995995e-14	0.3887044122332259	0.016394281364221427	-4.4866649442698454e-15	-5.518758310472563e-15	0.016397536830980754	2.383017255643148	8.580592906800608e-14	-2.8355529021527364e-12	2.3853539152434404	1.0	-1.1925544306605835	0.5962232236144759	0.5963312070461076	0	1.197071617434426	26.765231290787348	0.009999999999999997	7.5524769713330935	-0.0800419564871735	1.1925544306605835	2.5	0.0	0.1	3.221879386647624	0.0
13.53738940313691	6.183675793636212e-11	4.886837601247862e-10	13.540323813523386	0.9461120825684872	6.124785197301126e-12	3.2385335042134266e-11	0.9462489368308944	0.94645070854886	5.545809003721595e-12	4.4471763996659896e-11	0.946604376980304	0.08040633753316635	6.298961465051159e-13	3.176734844503422e-12	0.08041624668279054	2.400848697695329	1.173060220691461e-11	2.4184267096424058e-11	2.401736497326585	1.0	-1.7563491096055526	0.8781164674811328	0.87823264212442	0	1.2226294183558402	25.42859287084683	0.019999999999999993	8.02985953760302	0.37312250049765217	1.7563491096055526	2.5	0.0	0.10000000000000002	2.997725422294234	0.0
