SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	Trace	TRatio	Omega	rho	S	T	Mu	EInternal	Txx	Tyy	murh	ax	Gmu	ay	Ax	Ay	Gx	Gy	mu	Q
44.14730800079052	3.3962896113081537e-10	2.3284626596960822	2.1350349125618062e-11	2.3284626618216238	1.974415693220467e-11	0.1403636925400244	1.2473119212858498e-12	0.0	0.0550108160693297	0.4537194568062579	0.12712164986356336	-5.7156000343102775	1.2363547444678713	2.9918184690902763	0.039	1.0	3.569175331607356	2.0115678474954324	2.011326940918181	22.483158888604876	2.0	0.08895547151133014	2.0	2.0	2.0	1.0	1.0	22.483158888604876	12.490283979578127
37.78497375189647	3.4516933582195986e-12	1.8689493576320795	1.7620492090135145e-13	1.8689761415830557	2.456592819299788e-13	0.14791310395955304	1.6045172421352742e-14	0.0	0.07231007299106874	0.4513082971046467	0.12107114875768407	-4.176406742118953	1.585126444582442	3.8648684912401317	0.0395	1.0	3.7276287681709417	2.0894689428398876	2.089468122435701	21.9385203872138	2.0	0.0911638508295044	2.0	2.0	2.0	0.1	0.1	21.9385203872138	12.176075585924263
21.50429042462394	1.1613587153590232e-12	0.8222199609689925	4.556537693806135e-14	0.8222211881218151	4.811557488775284e-15	0.07142097994885485	1.1566662352027154e-15	0.0	0.07197645594874129	0.4565604479277946	0.12283888504653019	-4.221549273351868	1.5778402381826606	3.750370733620766	0.0395	1.0	3.7167420377908336	2.0866526758042774	2.086649809914351	21.9385203872138	2.0	0.0911638508295044	2.0	2.0	2.0	0.2	0.2	21.9385203872138	12.176075585924263
13.94211647645	5.357530147602138e-13	0.4762017667818306	3.084960369228511e-13	0.4762020210659401	2.9803553240377367e-14	0.04836140642434666	2.7662499527573548e-14	0.0	0.07066090592070573	0.46483543692434864	0.1263602279576099	-4.4066452578558115	1.5490885301621216	3.39947840999168	0.0395	1.0	3.6786530416856094	2.0717534545997585	2.0717350240101995	21.9385203872138	2.0	0.0911638508295044	2.0	2.0	2.0	0.4	0.4	21.9385203872138	12.176075585924263
17.60923551417038	1.271249849366194e-11	0.8434163503507307	7.558172235560553e-13	0.8434164179196757	1.0556754680117906e-12	0.06406739721076429	6.162764678802967e-14	0.0	0.0675655588852943	0.4669815469626699	0.12800431884352018	-4.72514096816419	1.4813708526854619	3.1464168593282387	0.0395	1.0	3.648170242861375	2.0576048150722617	2.0575469747517836	21.9385203872138	2.0	0.0911638508295044	2.0	2.0	2.0	0.6	0.6	21.9385203872138	12.176075585924263
43.104151117765724	6.420209075746336e-10	2.332751865451549	3.8434822560417484e-11	2.332751867619607	4.045472754166105e-11	0.14453159372471347	2.4315406327711574e-12	0.0	0.05640352815351928	0.44445335076789616	0.12311607012785897	-5.678364990508205	1.2369762882725608	3.033708413472037	0.0395	1.0	3.6100352318452074	2.0273583323561244	2.0271302502569792	21.9385203872138	2.0	0.0911638508295044	2.0	2.0	2.0	1.0	1.0	21.9385203872138	12.176075585924263
37.35868231052075	1.7881937792486868e-12	1.89591614134257	1.1158289053050202e-14	1.895942938478561	5.3277678247922855e-14	0.15390722301147255	1.993992961398631e-15	0.0	0.07408474459082288	0.4418233768810448	0.11744666778225299	-4.146887525103775	1.585290515066046	3.916818341011871	0.04	1.0	3.7619064484672196	2.101865312182419	2.101864513165845	21.414158039296566	2.0	0.09339615390574085	2.0	2.0	2.0	0.09999999999999999	0.09999999999999999	21.414158039296566	11.873576208086458
21.26172594818822	2.353331803517031e-12	0.834508413058671	2.1120824182620225e-13	0.8345096461843909	4.982266523087503e-13	0.07433617931833152	4.0124641720625624e-14	0.0	0.07374375948089101	0.447005224403091	0.11916590486243268	-4.191850973572993	1.5780198119139264	3.80245452923638	0.04	1.0	3.7511167721935403	2.099062378333464	2.099059618263167	21.414158039296566	2.0	0.09339615390574085	2.0	2.0	2.0	0.19999999999999998	0.19999999999999998	21.414158039296566	11.873576208086458
13.777327244278649	8.586809743609501e-12	0.48218555146527986	6.680588220893337e-13	0.4821858030490592	6.484410401731832e-13	0.0502342640375097	3.450375342526716e-14	0.0	0.07239831646488927	0.4552140936575735	0.12258536408229412	-4.376251428482892	1.5493112521852617	3.4506359752193894	0.04	1.0	3.7134457042684046	2.0843386342903942	2.0843211636355834	21.414158039296566	2.0	0.09339615390574085	2.0	2.0	2.0	0.39999999999999997	0.39999999999999997	21.414158039296566	11.873576208086458
17.26089083890151	3.7062094617791065e-11	0.8474499770883426	2.424625874675244e-12	0.8474500448860932	3.76394891659237e-12	0.0663523916907449	2.4787587600763815e-13	0.0	0.06924039364728099	0.4573749072703287	0.1241632644266401	-4.693352129144045	1.4818647170212453	3.1915241274576327	0.04	1.0	3.6836572345483187	2.070543445796336	2.070488696022311	21.414158039296566	2.0	0.09339615390574085	2.0	2.0	2.0	0.6	0.6	21.414158039296566	11.873576208086458
42.09828564760614	4.0872600388843633e-10	2.3370010628005664	2.5574846744308267e-11	2.3370010650143875	2.5139767208543898e-11	0.14877287994850905	1.5801024726193985e-12	0.0	0.05781277833638681	0.435461522638457	0.11931142882499794	-5.64228826059464	1.237604945793609	3.0757187316039962	0.04	1.0	3.649788850296794	2.0427332021521116	2.0425171707831398	21.414158039296566	2.0	0.09339615390574085	2.0	2.0	2.0	1.0	1.0	21.414158039296566	11.873576208086458
36.943333706313986	3.1923302976771817e-14	1.922961221306098	4.6702077377453154e-14	1.9229880259430736	6.256154319928451e-14	0.16006699749652029	9.838242941163565e-15	0.0	0.0758788268577432	0.43263872498747424	0.11399557357375296	-4.118394804167028	1.585456786691761	3.968846880988167	0.0405	1.0	3.7952238970714527	2.113931700181868	2.1139309218770586	20.909076569296115	2.0	0.09565223951290586	2.0	2.0	2.0	0.1	0.1	20.909076569296115	11.582211207400293
